545203.0924	4057407.432	-0.3146649
545181.5922	4057415.527	-0.43965304
545160.0711	4057421.847	-0.47629496
545140.0768	4057425.386	-0.52085514
545119.5805	4057430.444	-0.49390916
545096.5535	4057433.983	-0.44707068
545074.7814	4057435.255	-0.47293548
545052.1727	4057438.073	-0.39878914
545031.6764	4057443.634	-0.39960817
545010.6573	4057443.634	-0.45189732
544993.9256	4057446.433	-0.44031888
544976.2109	4057447.193	-0.43787734
544952.3474	4057449.47	-0.40426924
544936.9124	4057449.47	-0.40085662
544915.1403	4057450.485	-0.39713714
544898.9524	4057450.485	-0.3667554
544879.962	4057453.513	-0.40700929
544858.6291	4057455.79	-0.35259152
544834.8492	4057456.805	-0.3486009
544820.4181	4057457.821	-0.30111508
544806.74	4057455.79	-0.25618822
544793.5847	4057455.031	-0.33218327
544770.244	4057456.549	-0.3871504
544750.7516	4057458.067	-0.36741981
544736.5924	4057460.345	-0.38856585
544716.849	4057460.592	-0.41315842
544696.1018	4057461.142	-0.33487775
544680.2694	4057461.825	-0.3431292
544660.7352	4057464.871	-0.40821109
544642.5186	4057469.198	-0.49847282
544624.783	4057469.198	-0.52556239
544607.152	4057471.447	-0.46258013
544590.755	4057476.315	-0.44971345
544573.2913	4057480.424	-0.43145125
544553.0459	4057484.267	-0.589792
544533.5745	4057483.755	-0.59801164
544513.5383	4057488.889	-0.58550041
544498.919	4057492.988	-0.54925643
544484.7807	4057496.319	-0.48470576
544465.5602	4057496.831	-0.47039724
544448.3893	4057500.162	-0.50180206
544429.9217	4057500.162	-0.6416414
544405.0334	4057497.856	-0.63854572
544384.5371	4057497.6	-0.6073641
544354.9847	4057496.072	-0.47803843
544335.5132	4057496.841	-0.43336072
544319.1162	4057497.097	-0.48575056
544301.9453	4057499.147	-0.49459008
544282.1601	4057503.758	-0.51432259
544263.1906	4057503.502	-0.51372776
544238.0722	4057508.627	-0.64951302
544209.7956	4057509.908	-0.52761176
544189.0483	4057511.179	-0.47603726
544173.9271	4057512.973	-0.34663658
544152.9079	4057514.766	-0.39366329
544133.3737	4057518.353	-0.43421041
544112.8774	4057519.122	-0.4323865
544092.6112	4057517.281	-0.37087898
544069.2496	4057517.651	-0.34453216
544054.191	4057516.18	-0.34153921
544034.8032	4057511.473	-0.36336278
544014.2233	4057513.191	-0.36316929
543995.9648	4057514.33	-0.63082364
543972.5614	4057515.478	-0.43918529
543945.1842	4057517.186	-0.42874906
544264.044	4057480.535	-0.154
544284.219	4057482.792	-0.039
544303.048	4057474.911	-0.224
544303.048	4057474.911	-0.224
544319.816	4057475.083	-0.241
544337.933	4057479.943	-0.247
544357.527	4057476.702	-0.253
544395.021	4057475.131	-0.304
544413.454	4057469.609	-0.325
544432.497	4057469.891	-0.249
544449.234	4057473.934	-0.023
544448.802	4057482.146	-0.115
544449.179	4057485.136	-0.237
544449.179	4057485.136	-0.237
544449.179	4057485.136	-0.237
544466.915	4057475.81	-0.093
544486.928	4057475.558	-0.182
544496.647	4057471.902	-0.161
544498.992	4057462.396	-0.2
544514.779	4057457.971	-0.119
544534.321	4057457.29	-0.135
544534.266	4057457.372	-0.179
544553.599	4057455.082	-0.202
544572.552	4057450.91	-0.204
544588.753	4057449.1	-0.231
544607.422	4057445.328	-0.17
544626.674	4057441.899	-0.078
544645.324	4057441.677	-0.172
544662.645	4057441.235	-0.122
544678.921	4057441.387	-0.142
544717.816	4057441.791	-0.245
544735.452	4057439.735	-0.265
544753.042	4057438.967	-0.232
544773.014	4057437.817	-0.256
544795.234	4057437.785	-0.245
544805.883	4057443.617	-0.151
544822.294	4057442.987	-0.199
544843.698	4057443.111	-0.309
544863.236	4057441.214	-0.207
544881.5	4057437.212	-0.312
544899.881	4057434.891	-0.209
544920.155	4057435.289	-0.299
544938.369	4057433.768	-0.342
544956.153	4057432.496	-0.322
544975.543	4057431.123	-0.329
544975.543	4057431.123	-0.329
544992.877	4057430.27	-0.298
545011.149	4057429.305	-0.287
545032.336	4057425.74	-0.243
545032.336	4057425.74	-0.243
545052.767	4057422.942	-0.29
545073.906	4057419.743	-0.295
545094.033	4057417.854	-0.237
545115.026	4057412.367	-0.332
545157.424	4057402.999	-0.268
545175.296	4057395.122	-0.276
545192.582	4057388.698	-0.201
545196.39	4057395.106	-0.204
545209.499	4057388.599	-0.211
545217.699	4057379.938	-0.195
544249.148	4057490.313	-0.252
544211.717	4057475.992	-0.071
544212.062	4057482.432	-0.228
544191.845	4057485.094	-0.266
544189.302	4057481.148	-0.183
544173.322	4057492.449	-0.075
544151.348	4057493.661	-0.071
544133.959	4057494.215	-0.271
544113.884	4057497.311	-0.213
544093.757	4057500.62	-0.203
544072.665	4057502.223	-0.219
544051.395	4057499.583	-0.205
544034.462	4057496.472	-0.303
544014.24	4057497.167	-0.24
543996.288	4057499.86	-0.255
543974.531	4057502.843	-0.249
543934.449	4057503.94	-0.215
543912.12	4057504.58	-0.127
543892.962	4057506.01	-0.278
546048.288	4056504.688	-0.095
546062.838	4056491.356	-0.227
546079.216	4056477.326	-0.155
546100.667	4056456.945	-0.135
546138.889	4056384.907	-0.05
546155.655	4056366.578	-0.021
546155.655	4056366.578	-0.021
546173.394	4056350.407	-0.018
546210.341	4056319.072	-0.072
546237.901	4056276.182	-0.103
546308.524	4056217.926	-0.093
546329.733	4056207.359	-0.13
546341.999	4056200.388	0
546083.647	4056471.291	-0.018
546112.386	4056425.011	-0.031
546200.177	4056326.9	-0.088
546232.928	4056300.675	-0.507
546234.904	4056281.186	-0.083
546246.73	4056261.534	-0.036
546669.76	4056023.135	-0.128
545781.63	4057091.02	-2.79
545777.58	4057086.56	-2.68
545772.77	4057082.34	-2.59
545768.27	4057078.18	-2.45
545747.3	4057065.24	-1.78
545741.7	4057062.6	-1.44
545733.68	4057060.42	-1.37
545721.86	4057057.19	-1.17
545709.7	4057055.88	-1.29
545700.76	4057056.07	-1.28
545694.65	4057057.38	-1.17
545688.88	4057059.14	-1.05
545682.93	4057061.15	-0.91
545677.28	4057063.56	-0.89
545670.81	4057066.45	-0.88
545665.12	4057068.88	-0.85
545659.44	4057071.14	-0.86
545653.61	4057073.84	-0.88
545647.54	4057075.9	-0.9
545641.79	4057078.47	-0.94
545632.36	4057082.98	-0.96
545626.78	4057086.19	-0.93
545620.31	4057088.72	-0.95
545618.73	4057094.56	-1.08
545620.13	4057100.76	-1.12
545621.13	4057106.89	-1.17
545621.87	4057113.18	-1.22
545620.11	4057118.95	-1.25
545625.67	4057154.96	-2.16
545627.39	4057160.77	-2.34
545628.99	4057166.74	-2.5
545633.06	4057191	-2.9
545633.49	4057204.64	-3.01
545630.3	4057210.6	-3.05
545618.3	4057226.1	-3.19
545616.82	4057231.95	-3.25
545615.8	4057238.21	-3.31
545615.32	4057244.4	-3.36
545615.03	4057250.57	-3.45
545614.47	4057257.1	-3.56
545614.11	4057263.13	-3.66
545613.7	4057269.45	-3.8
545610.99	4057288.61	-3.89
545609.83	4057295.38	-3.83
545609.11	4057302.07	-3.8
545608.34	4057308.06	-3.78
545607.74	4057314.16	-3.76
545610.21	4057325.98	-3.59
545612.94	4057336.46	-3.86
545624.24	4057360.78	-4.17
545625.05	4057367.14	-4.47
545626.53	4057373.25	-4.67
545629.72	4057382.4	-4.95
545638.97	4057405.29	-6.8
545642.85	4057413.59	-7.39
545645.85	4057419.57	-7.54
545652.54	4057434.5	-7.17
545656.33	4057446.45	-6.92
545658.87	4057454.22	-6.65
545662.7	4057480.99	-6.32
545668.24	4057505.1	-4.44
545678.33	4057520.82	-3.63
545681.87	4057525.89	-3.36
545685.42	4057530.99	-3.26
545688.84	4057536.12	-2.93
545691.07	4057542.01	-2.48
545692.73	4057548.32	-2.07
545694.58	4057554.44	-2.33
545697.65	4057562.24	-2.32
545700.28	4057567.99	-2.44
545703.1	4057573.29	-2.59
545706.49	4057578.66	-2.75
545709.97	4057583.82	-3.03
545713.41	4057589.15	-3.75
545722.1	4057603.63	-3.61
545725.33	4057609.09	-3.46
545728.26	4057614.34	-3.29
545723.22	4057660.42	-4.95
545714.38	4057667.26	-4.98
545709.9	4057671.39	-5.58
545706.55	4057676.53	-5.94
545710.05	4057693.12	-6.84
545719.17	4057693.73	-6.91
545733.83	4057689.54	-6.67
545739.96	4057694.42	-6.64
545734.33	4057709.44	-6.93
545730.17	4057728.38	-6.91
545731.62	4057734.24	-6.97
545734.51	4057739.69	-7.02
545738.45	4057744.78	-7.08
545742.7	4057749.1	-7.16
545761.09	4057767.44	-7.02
545763.05	4057773.3	-6.8
545763.65	4057779.47	-6.58
545764.21	4057785.87	-6.41
545764.81	4057792.14	-6.28
545765.38	4057798.16	-6.16
545765.9	4057804.25	-6.03
545766.65	4057810.35	-5.85
545767.65	4057816.47	-5.69
545768.95	4057822.53	-5.51
545770.6	4057828.31	-5.34
545772.55	4057834.04	-5.21
545774.84	4057840.03	-5.07
545777.44	4057845.78	-5.05
545780.26	4057851.3	-5.03
545797.35	4057879.74	-5.3
545800.37	4057885.55	-5.44
545802.22	4057891.29	-5.57
545803.35	4057897.32	-5.72
545804.09	4057909.66	-5.94
545804.61	4057915.72	-6.06
545805.29	4057921.78	-6.17
545806.36	4057927.93	-6.32
545807.77	4057933.91	-6.44
545809.36	4057939.82	-6.57
545811.46	4057945.62	-6.69
545813.96	4057951.38	-6.81
545819.83	4057962.24	-7.03
545823.21	4057967.58	-7.15
545826.78	4057973.01	-7.26
545830.22	4057977.97	-7.37
545833.87	4057983.45	-7.48
545836.76	4057989.69	-7.58
545838.37	4057995.83	-7.65
545839.02	4058002.2	-7.72
545839.26	4058008.2	-7.78
545839.46	4058014.58	-7.85
545839.64	4058020.64	-7.92
545839.46	4058027.4	-7.98
545839.05	4058033.47	-8.04
545838.47	4058039.46	-8.07
545837.86	4058045.49	-8.1
545837	4058052.76	-8.14
545836.91	4058058.97	-8.18
545837.25	4058065.5	-8.24
545838.72	4058072.42	-8.31
545840.99	4058078.29	-8.38
545843.74	4058083.7	-8.44
545846.74	4058089.28	-8.5
545850.27	4058094.92	-8.56
545854.25	4058100.5	-8.62
545857.83	4058105.41	-8.67
545861.94	4058110.77	-8.73
545865.65	4058116.3	-8.79
545868.93	4058121.88	-8.85
545871.98	4058127.88	-8.91
545874.08	4058133.94	-8.97
545876.26	4058140.82	-9.03
545878.71	4058147.13	-9.07
545881.61	4058153.77	-9.11
545884.26	4058159.71	-9.16
545887.05	4058165.61	-9.23
545889.66	4058171.02	-9.29
545892.7	4058176.99	-9.36
545895.57	4058182.5	-9.45
545897.95	4058188.72	-9.51
545897.95	4058195.18	-9.54
545898.02	4058201.26	-9.51
545884.76	4058205.42	-9.47
545888.48	4058200.38	-9.51
545907.52	4058205.64	-9.54
545913.13	4058203.39	-9.63
545866.1	4058157.54	-9.12
545872.93	4058155.7	-9.15
545877.08	4058160.96	-9.11
545888.56	4058148	-9.18
545894.5	4058146.54	-9.14
545901.02	4058145.24	-9.12
545906.86	4058143.64	-9.19
545915.3	4058140.87	-9.18
545927.27	4058138.21	-9.3
545943.09	4058133.89	-9.34
545963.12	4058127.64	-9.34
545975.83	4058126.83	-9.7
545988.36	4058124.81	-10.31
545994.59	4058122.01	-10.26
546006.5	4058117.07	-9.69
546012.07	4058113.93	-9.42
546017.88	4058110.86	-9.45
546024.62	4058108.38	-9.39
546039.07	4058106.33	-9.43
546056.72	4058096.67	-9.66
546062.8	4058093.58	-9.63
546076.5	4058091.79	-9.69
546087.53	4058092.87	-9.58
546093.86	4058091.14	-9.58
546102.4	4058086.2	-9.64
546109.6	4058082.91	-9.5
546116.87	4058081.05	-9.55
546123.69	4058077.99	-9.5
546128.68	4058074.27	-9.57
546133.88	4058071.13	-9.43
546149.45	4058062.75	-9.48
546171.38	4058061.35	-9.51
546188.64	4058057.05	-9.6
546195.85	4058055.57	-9.39
546201.76	4058053.21	-9.35
546207.4	4058051.13	-9.25
546218.72	4058048.77	-9.16
546229.15	4058046.34	-9.16
546237.03	4058043.77	-9.26
546243.17	4058041.79	-9.16
546249.23	4058040.5	-9.16
546265.62	4058034.68	-9.2
546273.82	4058030.86	-9.15
546279.4	4058028.6	-9.26
546286.32	4058026.55	-9.15
546293.73	4058024.38	-9.18
546301.91	4058022.48	-9.2
546308.15	4058020.46	-9.25
546314.05	4058018.72	-9.29
546322.99	4058016.33	-9.3
546329.06	4058015.11	-9.35
546334.88	4058013.13	-9.37
546341.49	4058010.2	-9.29
546367.57	4058001.49	-9.35
546374.92	4057999.99	-9.38
546382.26	4057997.93	-9.41
546388.04	4057995.96	-9.43
546396.3	4057992.49	-9.45
546403.43	4057988.34	-9.47
546409.24	4057986.09	-9.46
546414.92	4057984.11	-9.45
546423.54	4057981.71	-9.44
546439.8	4057977.84	-9.47
546445.6	4057976.11	-9.49
546451.98	4057972.89	-9.5
546457.1	4057969.16	-9.52
546466.27	4057964	-9.5
546475.32	4057963.89	-9.49
546487.72	4057966.01	-9.46
546495.9	4057964.64	-9.49
546505.38	4057959.31	-9.72
546512.95	4057954.13	-9.52
546521.07	4057952.41	-9.52
546529.56	4057951.04	-9.52
546536.32	4057947.93	-9.52
546544.24	4057942.59	-9.72
546549.62	4057939.58	-9.72
546555.69	4057938.17	-9.71
546561.95	4057938.72	-9.71
546572.61	4057937.98	-9.71
546578.27	4057935.22	-9.71
546583.78	4057930.65	-9.71
546591.15	4057926.08	-9.71
546601.69	4057923.2	-9.7
546609.8	4057921.03	-9.5
546625	4057916.57	-9.49
546632.97	4057914.52	-9.49
546640.77	4057915.01	-9.48
546652.33	4057916.24	-9.58
546663.75	4057912.43	-9.57
546672.31	4057907.54	-9.67
546677.46	4057903.79	-9.67
546683.13	4057899.9	-9.46
546694.44	4057896.12	-9.46
546701.09	4057894.23	-9.47
546709.99	4057891.41	-9.67
546720.91	4057887.28	-9.68
546726.82	4057884.55	-9.49
546733.43	4057881.02	-9.47
546741.49	4057877.91	-9.45
546749.94	4057876.47	-9.43
546764.48	4057875.29	-9.4
546772.02	4057873.55	-9.38
546777.93	4057871.44	-9.37
546783.53	4057868.27	-9.36
546790.03	4057863.21	-9.35
546795.68	4057859.63	-9.34
546802.82	4057857.8	-9.33
546817.07	4057857.6	-9.51
546822.75	4057854.63	-9.55
546828.98	4057850.25	-9.57
546834.94	4057847.9	-9.57
546842.8	4057847.49	-9.37
546851.15	4057847.07	-9.37
546857.28	4057845.88	-9.17
546863.01	4057842.64	-9.58
546869.35	4057839.29	-9.34
546881.44	4057836.76	-9.36
546888.69	4057835.46	-9.37
546895.15	4057834.01	-9.39
546902.45	4057832.03	-9.41
546909.15	4057829.41	-9.43
546914.92	4057827.45	-9.45
546920.88	4057825.84	-9.47
546927.12	4057824.28	-9.48
546934.04	4057822.55	-9.5
546939.95	4057821.16	-9.52
546945.75	4057819.46	-9.53
546951.9	4057817.34	-9.55
546957.8	4057815.04	-9.57
546965.42	4057812.14	-9.59
546972.38	4057809.27	-9.61
546978.29	4057806.68	-9.63
546983.88	4057804.12	-9.65
546992.63	4057800.66	-9.66
547002.27	4057798.65	-9.65
547012.38	4057797.85	-9.65
547024.53	4057796.75	-9.63
547037.97	4057793.98	-9.62
547045.05	4057791.67	-9.63
547050.74	4057788.79	-9.64
547056.35	4057785.38	-9.65
547065.44	4057780.45	-9.65
547071.63	4057778.09	-9.64
547080.68	4057775.85	-9.63
547086.71	4057774.09	-9.62
547105.37	4057766.4	-9.59
547110.77	4057763.57	-9.58
